Model Name,Shadowing,Description,Display As,Dimensions,String Type,String Count,Node Count,Light Count,Est Current (Amps),Channels Per Node, Channel Count,Start Channel,Start Channel No,#Universe(or id):Start Channel,End Channel No,Default Buffer W x H,Preview,Controller Ports,Connection Protocol,Connection Attributes,Controller Name,Controller Type,Protocol,Controller Description,IP,Baud,Universe/Id,Universe Channel,Controller Channel,Active
"Fence Swags 02 {L}","","","Arches","Length 52.04in Height 26.02in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 03 {L}:1,9917,#27:403,9964,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,403,913,
"Fence Swags 03 {L}","","","Arches","Length 52.04in Height 26.02in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 04 {L}:1,9869,#27:355,9916,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,355,865,
"Fence Swags 04 {L}","","","Arches","Length 52.04in Height 26.02in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 05 {LF}:1,9821,#27:307,9868,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,307,817,
"Fence Swags 05 {LF}","","","Arches","Length 52.04in Height 26.02in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 06 {FL}:1,9773,#27:259,9820,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,259,769,
"Fence Swags 06 {FL}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 07 {F}:1,9725,#27:211,9772,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,211,721,
"Fence Swags 07 {F}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 08 {F}:1,9677,#27:163,9724,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,163,673,
"Fence Swags 08 {F}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 09 {F}:1,9629,#27:115,9676,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,115,625,
"Fence Swags 09 {F}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 10 {F}:1,9581,#27:67,9628,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,67,577,
"Fence Swags 10 {F}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 11 {F}:1,9533,#27:19,9580,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,19,529,
"Fence Swags 11 {F}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 12 {F}:1,9485,#26:481,9532,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,481,481,
"Fence Swags 12 {F}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 13 {F}:1,9437,#26:433,9484,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,433,433,
"Fence Swags 13 {F}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 14 {F}:1,9389,#26:385,9436,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,385,385,
"Fence Swags 14 {F}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 15 {FR}:1,9341,#26:337,9388,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,337,337,
"Fence Swags 15 {FR}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 16 {DFL}:1,9293,#26:289,9340,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,289,289,
"Fence Swags 16 {DFL}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 17 {DFL}:1,9245,#26:241,9292,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,241,241,
"Fence Swags 17 {DFL}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 18 {DC}:1,9197,#26:193,9244,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,193,193,
"Fence Swags 18 {DC}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 19 {DRB}:1,9149,#26:145,9196,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,145,145,
"Fence Swags 19 {DRB}","","","Arches","Length 52.03in Height 26.01in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 20 {RF}:1,9101,#26:97,9148,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,97,97,
"Fence Swags 20 {RF}","","","Arches","Length 51.99in Height 25.99in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 21 {RB}:1,9053,#26:49,9100,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,49,49,
"Fence Swags 21 {RB}","","","Arches","Length 52.00in Height 26.00in","RGB Nodes",1,16,16,0.88,3,48,!APix16 12V Out #16 Pixel Fence:1,9005,#26:1,9052,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,26,1,1,
"Fence Swags- All 01-21",,"Fence Swags 01 {LB}, Fence Swags 02 {L}, Fence Swags 03 {L}, Fence Swags 04 {L}, Fence Swags 05 {LF}, Fence Swags 06 {FL}, Fence Swags 07 {F}, Fence Swags 08 {F}, Fence Swags 09 {F}, Fence Swags 10 {F}, Fence Swags 11 {F}, Fence Swags 12 {F}, Fence Swags 13 {F}, Fence Swags 14 {F}, Fence Swags 15 {FR}, Fence Swags 16 {DFL}, Fence Swags 17 {DFL}, Fence Swags 18 {DC}, Fence Swags 19 {DRB}, Fence Swags 20 {RF}, Fence Swags 21 {RB}","ModelGroup",,,,,,,,,,,,,400 x 10,Default
"Fence Swags- Even 2468...",,"Fence Swags 02 {L}, Fence Swags 04 {L}, Fence Swags 06 {FL}, Fence Swags 08 {F}, Fence Swags 10 {F}, Fence Swags 12 {F}, Fence Swags 14 {F}, Fence Swags 16 {DFL}, Fence Swags 18 {DC}, Fence Swags 20 {RF}","ModelGroup",,,,,,,,,,,,,400 x 9,Default
"Fence Swags- Front Only (10)",,"Fence Swags 06 {FL}, Fence Swags 07 {F}, Fence Swags 08 {F}, Fence Swags 09 {F}, Fence Swags 10 {F}, Fence Swags 11 {F}, Fence Swags 12 {F}, Fence Swags 13 {F}, Fence Swags 14 {F}, Fence Swags 15 {FR}","ModelGroup",,,,,,,,,,,,,362 x 9,Default
"Fence Swags- Left Half 01-11",,"Fence Swags 01 {LB}, Fence Swags 02 {L}, Fence Swags 03 {L}, Fence Swags 04 {L}, Fence Swags 05 {LF}, Fence Swags 06 {FL}, Fence Swags 07 {F}, Fence Swags 08 {F}, Fence Swags 09 {F}, Fence Swags 10 {F}, Fence Swags 11 {F}","ModelGroup",,,,,,,,,,,,,217 x 12,Default
"Fence Swags- Left Side Only (5)",,"Fence Swags 01 {LB}, Fence Swags 02 {L}, Fence Swags 03 {L}, Fence Swags 04 {L}, Fence Swags 05 {LF}","ModelGroup",,,,,,,,,,,,,1 x 12,Default
"Fence Swags- Odd 1357...",,"Fence Swags 01 {LB}, Fence Swags 03 {L}, Fence Swags 05 {LF}, Fence Swags 07 {F}, Fence Swags 09 {F}, Fence Swags 11 {F}, Fence Swags 13 {F}, Fence Swags 15 {FR}, Fence Swags 17 {DFL}, Fence Swags 19 {DRB}, Fence Swags 21 {RB}","ModelGroup",,,,,,,,,,,,,400 x 10,Default
"Fence Swags- Right Half 12-21",,"Fence Swags 12 {F}, Fence Swags 13 {F}, Fence Swags 14 {F}, Fence Swags 15 {FR}, Fence Swags 16 {DFL}, Fence Swags 17 {DFL}, Fence Swags 18 {DC}, Fence Swags 19 {DRB}, Fence Swags 20 {RF}, Fence Swags 21 {RB}","ModelGroup",,,,,,,,,,,,,354 x 14,Default
"Fence Swags- Right and Diagonal Only (6)",,"Fence Swags 16 {DFL}, Fence Swags 17 {DFL}, Fence Swags 18 {DC}, Fence Swags 19 {DRB}, Fence Swags 20 {RF}, Fence Swags 21 {RB}","ModelGroup",,,,,,,,,,,,,165 x 14,Default
"Festivus Pole Flood (RGB)","","","Tree","Width 2.50in Height 90.05in Depth 2.50in","3 Channel RGB",1,1,300,16.50,3,3,129,129,#2:1,131,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,1,1,
"Flying Spaghetti Monster (W)","","","Image","Width 61.64in Height 44.09in","Single Color White",1,1,2,,1,1,86,86,#1:86,86,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,86,86,
"Forest (all individual) Group",,"Tree- Big AC 1 (M), Tree- Tomato A1.4 {L} (W), Tree- Tomato A2.3 (B), Tree- Tomato A2.2 (G), Tree- Tomato A2.1 (R), Tree- Tomato A1.3 (L} (B), Tree- Tomato A1.2 (L} (G), Tree- Tomato A1.1 (L} (R), Tree- Tomato A2.4 (W), Tree- Tomato A3.3 (B), Tree- Tomato A3.2 (G), Tree- Tomato A3.1 (R), Tree- Tomato A3.4 (W), Tree- Tomato A4.3 {CL} (B), Tree- Tomato A4.2 {CL} (G), Tree- Tomato A4.1 {CL} (R), Tree- Tomato A4.4 {CL} (W), Tree- Tomato A5.3 {CR} (B), Tree- Tomato A5.2 {CR} (G), Tree- Tomato A5.1 {CR} (R), Tree- Tomato A5.4 {CR} (W), Tree- Tomato A6.3 (B), Tree- Tomato A6.2 (G), Tree- Tomato A6.1 (R), Tree- Tomato A6.4 (W), Tree- Tomato A7.3 (B), Tree- Tomato A7.2 (G), Tree- Tomato A7.1 (R), Tree- Tomato A7.4 (W), Tree- Tomato A8.3 {R} (B), Tree- Tomato A8.2 {R} (G), Tree- Tomato A8.1 {R} (R), Tree- Tomato A8.4 {R} (W), Tree- Tomato B1.1 {L} (V), Tree- Tomato B1.2 {L} (W), Tree- Tomato B4.1 {CL} (V), Tree- Tomato B4.2 {CL} (W), Tree- Tomato B5.1 {CR} (V), Tree- Tomato B5.2 {CR} (W), Tree- Tomato B6.2 (W), Tree- Tomato B6.1 (V), Tree- Tomato B7.2 (W), Tree- Tomato B7.1 (V), Tree- Tomato B8.1 {R} (V), Tree- Tomato B8.2 {R} (W), Tree- Tomato B2.1 (V), Tree- Tomato B2.2 (W), Tree- Tomato B3.1 (V), Tree- Tomato B3.2 (W)","ModelGroup",,,,,,,,,,,,,372 x 60,Default
"Forest Groups Group",,"Tree- Big AC 1 (M), Trees- Spiral Group (WWWG), Trees- Tomato All Groups Group (RGBWVW), Trees- Others Group","ModelGroup",,,,,,,,,,,,,375 x 84,Default
"HappyHolidays","","","Image","Width 60.57in Height 26.96in","Single Color White",1,1,2,,1,1,@Countdown Timer (B):1,85,#1:85,85,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,85,85,
"House Front and the Roof",,"Eaves Chase (RGBW), Roof Ridgeline (RGB), UFOs (RGB), Big Festive Wreath (RG), Disco Balls (M), Big Nick Inside (W), Swirlies- Big Nick Fire (RO), Snowfall Projectors (WB), Swirlies- Snowflakes (WB), Lasers- House Front (RGB), Swiriles- Candy Canes (RG)","ModelGroup",,,,,,,,,,,,,400 x 141,Default
"Lamp Post Directions (O)","","","Image","Width 18.01in Height 110.06in","Single Color White",1,1,2,,1,1,72,72,#1:72,72,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,72,72,
"Lamp Posts (Y)","","","Image","Width 17.62in Height 32.03in","Single Color White",1,1,2,,1,1,87,87,#1:87,87,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,87,87,
"Laser- Streetlight (R)","","","Single Line","Length 112.45in","Single Color Custom",1,1,100,,1,1,73,73,#1:73,73,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,73,73,
"Lasers Group",,"Lasers- Driveway (RG), Lasers- Street (RG), Lasers- House Front (RGB), Laser- Streetlight (R), HappyHolidays","ModelGroup",,,,,,,,,,,,,400 x 168,Default
"Lasers- Driveway (RG)","","","Image","Width 150.09in Height 150.09in","Single Color White",1,1,2,,1,1,216,216,#2:88,216,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,88,88,
"Lasers- House Front (RGB)","","","Image","Width 100.06in Height 100.06in","Single Color White",1,1,2,,1,1,88,88,#1:88,88,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,88,88,
"Lasers- Street (RG)","","","Image","Width 200.11in Height 200.11in","Single Color White",1,1,2,,1,1,217,217,#2:89,217,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,89,89,
"Mailbox- Graphic","","","Image","Width 35.01in Height 50.99in","Single Color White",1,1,2,,1,1,@Mailbox- Real (O):1,89,#1:89,89,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,89,89,
"Mailbox- MiniWicker (W)","","","Image","Width 17.62in Height 32.03in","Single Color White",1,1,2,,1,1,@Mailbox- Real (O):1,89,#1:89,89,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,89,89,
"Mailbox- Real (O)","","","Tree","Width 67.81in Height 25.00in Depth 58.83in","Single Color Red",1,1,100,,1,1,89,89,#1:89,89,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,89,89,
"Mailboxes (Y)",,"Mailbox- Real (O), Mailbox- MiniWicker (W), Mailbox- Graphic","ModelGroup",,,,,,,,,,,,,88 x 53,Default
"Major Award (158)","","","Custom","Width 19.63in Height 45.62in Depth 30.02in","RGB Nodes",1,158,158,8.69,3,474,!APix16 12V Out #14 Major Award:1,8117,#24:1,8590,30 x 76,"Default",0,ws2811,,"APix16 12V Out #14 Major Award",HolidayCoro AlphaPix 16,E131,"The Fragile Major Award from France",10.3.12.16,,24,1,1,
"Manger Flood 1 {L} (RGB)","","","Single Line","Length 16.11in","RGB Nodes",1,1,1,0.05,3,3,132,132,#2:4,134,1 x 1,"Default",0,ws2811,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,4,4,
"Manger Flood 2 {R} (RGB)","","","Single Line","Length 16.11in","RGB Nodes",1,1,1,0.05,3,3,>Manger Flood 1 {L} (RGB):1,135,#2:7,137,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,7,7,
"Manger Floods {LR} (RGB)",,"Manger Flood 1 {L} (RGB), Manger Flood 2 {R} (RGB)","ModelGroup",,,,,,,,,,,,,41 x 1,Default
"Manger-Nativity Group",,"Nativity Characters, Manger Floods {LR} (RGB), Swirlies- Manger Stars (RWB), Star of Bethlehem","ModelGroup",,,,,,,,,,,,,400 x 113,Default
"Matrix- Text- Big (72X16=1152)","","","Matrix","Width 93.65in Height 20.81in","RGB Nodes",16,1152,1152,63.36,3,3456,!WLED Text Matrix- Big:1,11039,#31:1,14494,72 x 16,"Default",0,ws2811,,"WLED Text Matrix- Big",WLED WLED - Generic ESP32,E131,"Big Shadow Box Text Matrix 8'X2' 72X16",10.3.12.6,,31,1,1,DISABLED
"Matrix- Text- Small Donations (64X8=512)","","Small Scrolling Text Matrix on Donation Box (64 X 8 = 512)","Matrix","Width 25.01in Height 6.00in","RGB Nodes",12,600,600,33.00,3,1800,!WLED Text Matrix Small Donations:1,10013,#28:1,11812,50 x 12,"Default",0,ws2811,,"WLED Text Matrix Small Donations",WLED WLED - Generic ESP8266,E131,"Small 8X64 Scrolling Text Matrix on the Donation Box",10.3.12.5,,28,1,1,DISABLED
"Mega Triangle","","","Tree","Width 160.16in Height 169.92in Depth 84.39in","RGB Nodes",10,1000,1000,55.00,3,3000,!WLED Mega Triangle:1,14495,#39:1,17494,10 x 100,"Default",0,ws2811,,"WLED Mega Triangle",WLED WLED - Generic ESP32,E131,"The Mega Triangle",10.3.12.7,,39,1,1,DISABLED
"Menorah (B)","","","Image","Width 66.04in Height 100.06in","Single Color White",1,1,2,,1,1,@Menorah Bulb 0 (B) {C}:1,74,#1:74,74,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,74,74,
"Menorah Bulb 0 (B) {C}","","","Single Line","Length 21.34in","Single Color Blue",1,1,1,,1,1,74,74,#1:74,74,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,74,74,
"Menorah Bulbs",,"Menorah Bulb 0 (B) {C}, Menorah Bulbs 1-4 (B) {R}, Menorah Bulbs 5-8 (B) {L}, Menorah (B)","ModelGroup",,,,,,,,,,,,,58 x 47,Default
"Menorah Bulbs 1-4 (B) {R}","","","Single Line","Length 21.34in","Single Color Blue",1,1,4,,1,1,@Menorah Bulb 0 (B) {C}:1,74,#1:74,74,1 x 1,"Default",0,ws2811,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,74,74,
"Menorah Bulbs 5-8 (B) {L}","","","Single Line","Length 21.34in","Single Color Blue",1,1,4,,1,1,@Menorah Bulb 0 (B) {C}:1,74,#1:74,74,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,74,74,
"Mini Mesmerizer","","241 WS2812B Pixels in 8 concentric rings","Custom","Width 50.68in Height 50.68in Depth 50.68in","RGB Nodes",1,241,241,13.26,3,723,19595,19595,#0:0,20317,100 x 100,"Default",0,ws2811,,"",Unknown,Unknown,"",,,,0,-1,
"Nativity Characters","","","Image","Width 36.02in Height 48.03in","Single Color White",1,1,2,,1,1,218,218,#2:90,218,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,90,90,
"Oddballs Group",,"Mailboxes (Y), Presents (M), Countdown Timer (B), Disco Balls (M), Lamp Posts (Y), Lamp Post Directions (O), Peace Sign (RGB), Rotating Beacons {LCR} (RGBO), Strobes, Work Together Sign (RWB)","ModelGroup",,,,,,,,,,,,,400 x 92,Default
"On The Air (R)","","","Single Line","Length 0.00in","Single Color Red",1,1,1,,1,1,208,208,#2:80,208,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,80,80,
"Peace Sign (RGB)","","","Image","Width 30.02in Height 30.02in","Single Color White",1,1,2,,1,1,75,75,#1:75,75,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,75,75,
"Penguins","","","Image","Width 70.73in Height 44.63in","Single Color White",1,1,2,,1,1,76,76,#1:76,76,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,76,76,
"Pine Tree {R} Group",,"Bushes 5 {R} (RGBWVM), Swirlies- Pine (GO), Swirlies- Driveway (RGB), Lasers- Driveway (RG), Swirlies- Street (M), Lasers- Street (RG)","ModelGroup",,,,,,,,,,,,,390 x 229,Default
"Pixels Eaves Group",,"Eave Pixels 1 {L} Horiz (216), Eave Pixels 2 {L} Diag (188), Eave Pixels 3 {R} Diag (184), Eave Pixels 4 {R} Horiz (250)","ModelGroup",,,,,,,,,,,,,400 x 71,Default
"Pixels- ALL",,"Eave Pixels 1 {L} Horiz (216), Eave Pixels 2 {L} Diag (188), Eave Pixels 3 {R} Diag (184), Eave Pixels 4 {R} Horiz (250), Fence Swags 01 {LB}, Fence Swags 02 {L}, Fence Swags 03 {L}, Fence Swags 04 {L}, Fence Swags 05 {LF}, Fence Swags 06 {FL}, Fence Swags 07 {F}, Fence Swags 08 {F}, Fence Swags 09 {F}, Fence Swags 10 {F}, Fence Swags 11 {F}, Fence Swags 12 {F}, Fence Swags 13 {F}, Fence Swags 14 {F}, Fence Swags 15 {FR}, Fence Swags 16 {DFL}, Fence Swags 17 {DFL}, Fence Swags 18 {DC}, Fence Swags 19 {DRB}, Fence Swags 20 {RF}, Fence Swags 21 {RB}, Mega Triangle, Tree- Big Pixel, Star of Bethlehem, Star Wreath Ring Mega Triangle Topper, Major Award (158), Wheel of Dharma, Sorcerers Apprentice (150), Snowflake Arrow, Snowflake Diamond, Snowflake Three-Prong, Snowflake Two-Prong","ModelGroup",,,,,,,,,,,,,400 x 99,Default
"Power Items",,"On The Air (R), Amplifier 12V, Transmitter 12V, Laser- Streetlight (R)","ModelGroup",,,,,,,,,,,,,400 x 250,Default
"Presents (M)","","","Image","Width 24.01in Height 12.01in","Single Color White",1,1,2,,1,1,60,60,#1:60,60,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,60,60,
"Rainbow Arch Group (RYOGBV)",,"zRainbow Rope Arch 1 (R), zRainbow Rope Arch 2 (O), zRainbow Rope Arch 3 (Y), zRainbow Rope Arch 4 (G), zRainbow Rope Arch 5 (B), zRainbow Rope Arch 6 (V)","ModelGroup",,,,,,,,,,,,,36 x 103,Default
"Religious Group",,"Manger-Nativity Group, Menorah (B), Yule Log (O), Wheel of Dharma, Coexist Flag (MRGB), Flying Spaghetti Monster (W), Festivus Pole Flood (RGB), Peace Sign (RGB), Big Festive Wreath (RG)","ModelGroup",,,,,,,,,,,,,400 x 86,Default
"Right Yard Group",,"Pine Tree {R} Group, Swirlies- Oak (RGB), Manger-Nativity Group, Rotating Beacons {R} (RGBO)","ModelGroup",,,,,,,,,,,,,400 x 182,Default
"Roof Ridgeline (RGB)",,"Roof Ridgeline 1 {L} (RGB), Roof Ridgeline 2 {R} (RGB)","ModelGroup",,,,,,,,,,,,,400 x 1,Default
"Roof Ridgeline 1 {L} (RGB)","","","Single Line","Length 229.13in","3 Channel RGB",1,1,100,5.50,3,3,141,141,#2:13,143,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,13,13,
"Roof Ridgeline 2 {R} (RGB)","","","Single Line","Length 255.62in","3 Channel RGB",1,1,75,4.12,3,3,>Roof Ridgeline 1 {L} (RGB):1,144,#2:16,146,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,16,16,
"Rotating Beacon 01 (R)","","","Single Line","Length 0.00in","Single Color Red",1,1,1,,1,1,150,150,#2:22,150,1 x 1,"Default",0,ws2811,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,22,22,
"Rotating Beacon 02 (G)","","","Single Line","Length 0.00in","Single Color Green",1,1,1,,1,1,@Rotating Beacon 01 (R):1,150,#2:22,150,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,22,22,
"Rotating Beacon 03 (B)","","","Single Line","Length 0.00in","Single Color Blue",1,1,1,,1,1,@Rotating Beacon 01 (R):1,150,#2:22,150,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,22,22,
"Rotating Beacon 04 (B)","","","Single Line","Length 0.00in","Single Color Custom",1,1,1,,1,1,@Rotating Beacon 01 (R):1,150,#2:22,150,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,22,22,
"Rotating Beacon 05 (O)","","","Single Line","Length 0.00in","Single Color Custom",1,1,1,,1,1,@Rotating Beacon 01 (R):1,150,#2:22,150,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,22,22,
