Model Name,Shadowing,Description,Display As,Dimensions,String Type,String Count,Node Count,Light Count,Est Current (Amps),Channels Per Node, Channel Count,Start Channel,Start Channel No,#Universe(or id):Start Channel,End Channel No,Default Buffer W x H,Preview,Controller Ports,Connection Protocol,Connection Attributes,Controller Name,Controller Type,Protocol,Controller Description,IP,Baud,Universe/Id,Universe Channel,Controller Channel,Active
"Bushes 3.4 {C} (W)","","","Matrix","Width 291.69in Height 40.02in","Single Color White",1,1,400,,1,1,>Bushes 3.3 {C} (B):1,84,#1:84,84,1 x 1,"Default",0,dmx,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,84,84,
"Bushes 4 {D} (PW)",,"Bushes 4.1 {D} (P), Bushes 4.2 {D} (W)","ModelGroup",,,,,,,,,,,,,50 x 97,Default
"Bushes 4.1 {D} (P)","","","Tree","Width 50.10in Height 90.11in Depth 50.10in","Single Color Custom",1,1,200,,1,1,197,197,#2:69,197,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,69,69,
"Bushes 4.2 {D} (W)","","","Tree","Width 50.03in Height 90.05in Depth 50.03in","Single Color White",1,1,200,,1,1,>Bushes 4.1 {D} (P):1,198,#2:70,198,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,70,70,
"Bushes 5 {R} (RGBWVM)",,"Bushes 5.1 {R} (R), Bushes 5.3 {R} (B), Bushes 5.2 {R} (G), Bushes 5.4 {R} (W), Bushes 5.5 {R} (V), Bushes 5.6 {R} (M), Strobes- C9- Bushes {R} (W)","ModelGroup",,,,,,,,,,,,,28 x 214,Default
"Bushes 5 {R} RGBW Group (RGBW)",,"Bushes 5.2 {R} (G), Bushes 5.3 {R} (B), Bushes 5.1 {R} (R), Bushes 5.4 {R} (W)","ModelGroup",,,,,,,,,,,,,17 x 214,Default
"Bushes 5.1 {R} (R)","","","Tree","Width 16.51in Height 599.74in Depth 100.06in","Single Color Red",1,1,300,,1,1,210,210,#2:82,210,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,82,82,
"Bushes 5.2 {R} (G)","","","Tree","Width 16.51in Height 599.74in Depth 100.06in","Single Color Green",1,1,300,,1,1,>Bushes 5.1 {R} (R):1,211,#2:83,211,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,83,83,
"Bushes 5.3 {R} (B)","","","Tree","Width 16.51in Height 599.74in Depth 100.06in","Single Color Blue",1,1,300,,1,1,>Bushes 5.2 {R} (G):1,212,#2:84,212,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,84,84,
"Bushes 5.4 {R} (W)","","","Tree","Width 16.51in Height 599.74in Depth 100.06in","Single Color White",1,1,300,,1,1,>Bushes 5.3 {R} (B):1,213,#2:85,213,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,85,85,
"Bushes 5.5 {R} (V)","","","Tree","Width 16.51in Height 599.74in Depth 100.06in","Single Color Custom",1,1,300,,1,1,>Bushes 5.4 {R} (W):1,214,#2:86,214,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,86,86,
"Bushes 5.6 {R} (M)","","","Tree","Width 16.51in Height 599.74in Depth 100.06in","Single Color Custom",1,1,300,,1,1,>Bushes 5.5 {R} (V):1,215,#2:87,215,1 x 1,"Default",0,dmx,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,87,87,
"Bushes White Group",,"Bushes 2.2 {L} (W), Bushes 3.4 {C} (W), Bushes 4.2 {D} (W), Bushes 5.4 {R} (W)","ModelGroup",,,,,,,,,,,,,400 x 94,Default
"Candy Canes 1 (R)",,"CandyCane01-R1, CandyCane05-R1, CandyCane09-R1, CandyCane13-R1, CandyCane17-R1, CandyCane21-R1","ModelGroup",,,,,,,,,,,,,400 x 15,Default
"Candy Canes 2 (G)",,"CandyCane02-G2, CandyCane06-G2, CandyCane10-G2, CandyCane14-G2, CandyCane18-G2, CandyCane22-G2","ModelGroup",,,,,,,,,,,,,400 x 14,Default
"Candy Canes 3 (R)",,"CandyCane03-R3, CandyCane07-R3, CandyCane11-R3, CandyCane15-R3","ModelGroup",,,,,,,,,,,,,328 x 17,Default
"Candy Canes 4 (G)",,"CandyCane04-G4, CandyCane08-G4, CandyCane12-G4, CandyCane16-G4","ModelGroup",,,,,,,,,,,,,364 x 16,Default
"Candy Canes All Individual Group",,"CandyCane01-R1, CandyCane02-G2, CandyCane03-R3, CandyCane04-G4, CandyCane05-R1, CandyCane06-G2, CandyCane07-R3, CandyCane08-G4, CandyCane09-R1, CandyCane10-G2, CandyCane11-R3, CandyCane12-G4, CandyCane13-R1, CandyCane14-G2, CandyCane15-R3, CandyCane16-G4, CandyCane17-R1, CandyCane18-G2, CandyCane21-R1, CandyCane22-G2","ModelGroup",,,,,,,,,,,,,400 x 15,Default
"Candy Canes Seq Group (RGRG)",,"CandyCane01-R1, CandyCane02-G2, CandyCane03-R3, CandyCane04-G4","ModelGroup",,,,,,,,,,,,,7 x 17,Default
"CandyCane01-R1","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,61,61,#1:61,61,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,61,61,
"CandyCane02-G2","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Green",1,1,20,,1,1,>CandyCane01-R1:1,62,#1:62,62,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,62,62,
"CandyCane03-R3","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,>CandyCane02-G2:1,63,#1:63,63,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,63,63,
"CandyCane04-G4","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Green",1,1,20,,1,1,>CandyCane03-R3:1,64,#1:64,64,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,64,64,
"CandyCane05-R1","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,@CandyCane01-R1:1,61,#1:61,61,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,61,61,
"CandyCane06-G2","","","Candy Canes","Length 8.01in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane02-G2:1,62,#1:62,62,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,62,62,
"CandyCane07-R3","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,@CandyCane03-R3:1,63,#1:63,63,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,63,63,
"CandyCane08-G4","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane04-G4:1,64,#1:64,64,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,64,64,
"CandyCane09-R1","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,@CandyCane01-R1:1,61,#1:61,61,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,61,61,
"CandyCane10-G2","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane02-G2:1,62,#1:62,62,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,62,62,
"CandyCane11-R3","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,@CandyCane03-R3:1,63,#1:63,63,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,63,63,
"CandyCane12-G4","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane04-G4:1,64,#1:64,64,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,64,64,
"CandyCane13-R1","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,@CandyCane01-R1:1,61,#1:61,61,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,61,61,
"CandyCane14-G2","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane02-G2:1,62,#1:62,62,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,62,62,
"CandyCane15-R3","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,@CandyCane03-R3:1,63,#1:63,63,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,63,63,
"CandyCane16-G4","","","Candy Canes","Length 8.01in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane04-G4:1,64,#1:64,64,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,64,64,
"CandyCane17-R1","","","Candy Canes","Length 8.01in Height 12.01in","Single Color Red",1,1,20,,1,1,@CandyCane01-R1:1,61,#1:61,61,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,61,61,
"CandyCane18-G2","","","Candy Canes","Length 8.01in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane02-G2:1,62,#1:62,62,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,62,62,
"CandyCane19-R3","","","Candy Canes","Length 8.01in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane03-R3:1,63,#1:63,63,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,63,63,
"CandyCane20-G4","","","Candy Canes","Length 8.01in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane04-G4:1,64,#1:64,64,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,64,64,
"CandyCane21-R1","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Red",1,1,20,,1,1,@CandyCane01-R1:1,61,#1:61,61,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,61,61,
"CandyCane22-G2","","","Candy Canes","Length 8.00in Height 12.01in","Single Color Green",1,1,20,,1,1,@CandyCane02-G2:1,62,#1:62,62,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,62,62,
"Coexist Flag (MRGB)","","","Image","Width 48.03in Height 30.02in","Single Color White",1,1,2,,1,1,71,71,#1:71,71,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,71,71,
"Color  Groups Group",,"Color RED Group, Color GRN Group, Color BLU Group, Color WHT Group, Color VIO Group, Color MULTI Group, Color ORN Group","ModelGroup",,,,,,,,,,,,,400 x 122,Default
"Color BLU Group",,"Trees- Tomato A 3 Blu Group (B), Tree- Small {L} (B), Eaves Chase 3 (B), Bushes 3.3 {C} (B), Bushes 5.3 {R} (B), Countdown Timer (B)","ModelGroup",,,,,,,,,,,,,400 x 115,Default
"Color GRN Group",,"Trees- Tomato A 2 Grn Group (G), Eaves Chase 2 (G), CandyCane02-G2, CandyCane04-G4, Bushes 3.2 {C} (G), Bushes 5.3 {R} (B), zRainbow Rope Arch 4 (G), Wreath 1 Leaves (G)","ModelGroup",,,,,,,,,,,,,400 x 101,Default
"Color MULTI Group",,"Tree- Big AC 1 (M), Bushes 1 {S} Rainbow (ROGBV), Bushes 2.1 {L} (M), Bushes 5.6 {R} (M), Rainbow Arch Group (RYOGBV), Swirlies Spinny Group (M)","ModelGroup",,,,,,,,,,,,,400 x 127,Default
"Color ORN Group",,"Bushes 2.3 {L} Low (O), Mailboxes (Y), zRainbow Rope Arch 2 (O), zRainbow Rope Arch 3 (Y), zYellow Snow (Y), Yule Log (O)","ModelGroup",,,,,,,,,,,,,400 x 110,Default
"Color RED Group",,"Trees- Tomato A 1 Red Group (R), Trees- Tinsel Group (R), Eaves Chase 1 (R), CandyCane01-R1, CandyCane03-R3, Bushes 3.1 {C} (R), Bushes 5.1 {R} (R), zRainbow Rope Arch 1 (R), Wreath 2 Berries (R), Wreath 5 Berries (R)","ModelGroup",,,,,,,,,,,,,400 x 102,Default
"Color VIO Group",,"Trees- Tomato B Vio Group, Bushes 4.1 {D} (P), Bushes 5.5 {R} (V), zRainbow Rope Arch 6 (V)","ModelGroup",,,,,,,,,,,,,400 x 84,Default
"Color WHT Group",,"Trees- Tomato A+B Wht Indiv Group, Eaves Chase 4 (W), Bushes White Group, Trees- Spiral Group (WWWG), Snow Group","ModelGroup",,,,,,,,,,,,,400 x 109,Default
"Countdown Timer (B)","","","Image","Width 24.01in Height 18.01in","Single Color White",1,1,2,,1,1,85,85,#1:85,85,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,85,85,
"Deer 1","","","Image","Width 36.02in Height 36.02in","Single Color White",1,1,2,,1,1,@Snow Lake (W):1,90,#1:90,90,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,90,90,
"Deer 2","","","Image","Width 36.02in Height 36.02in","Single Color White",1,1,2,,1,1,@Snow Lake (W):1,90,#1:90,90,1 x 1,"Default",0,,,"APix16 DMX Output 1 Left Yard",HolidayCoro AlphaPix 16,E131,"AC Controllers in the Left Yard",10.3.12.16,,1,90,90,
"Disco Balls (M)",,"Disco Balls {L} (M), Disco Balls {R} (M)","ModelGroup",,,,,,,,,,,,,391 x 1,Default
"Disco Balls {L} (M)","","","Image","Width 73.06in Height 57.59in","Single Color White",1,1,2,,1,1,200,200,#2:72,200,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,72,72,
